ProductionID,SourceType,Location,Date,EnergyProduced_kWh,WindSpeed_mph,SolarRadiation_W/m2
P0018,Hydro,Lake Jessicachester,2022-01-01,24245,5.2,696
P0018,Hydro,Lake Jessicachester,2022-01-02,19473,1.7,416
P0018,Hydro,Lake Jessicachester,2022-01-03,11506,3.0,313
P0018,Hydro,Lake Jessicachester,2022-01-04,8813,1.9,612
P0018,Hydro,Lake Jessicachester,2022-01-05,6061,0.2,623
P0018,Hydro,Lake Jessicachester,2022-01-06,22386,3.3,470
P0018,Hydro,Lake Jessicachester,2022-01-07,12282,11.2,274
P0018,Hydro,Lake Jessicachester,2022-01-08,6878,7.3,424
P0018,Hydro,Lake Jessicachester,2022-01-09,19664,3.9,772
P0018,Hydro,Lake Jessicachester,2022-01-10,8340,8.0,695
P0018,Hydro,Lake Jessicachester,2022-01-11,11006,2.3,572
P0018,Hydro,Lake Jessicachester,2022-01-12,10823,14.2,320
P0018,Hydro,Lake Jessicachester,2022-01-13,13572,4.5,288
P0018,Hydro,Lake Jessicachester,2022-01-14,23921,12.7,313
P0018,Hydro,Lake Jessicachester,2022-01-15,22088,12.4,124
P0018,Hydro,Lake Jessicachester,2022-01-16,15627,9.3,785
P0018,Hydro,Lake Jessicachester,2022-01-17,7157,12.7,120
P0018,Hydro,Lake Jessicachester,2022-01-18,22001,9.8,386
P0018,Hydro,Lake Jessicachester,2022-01-19,21456,12.4,523
P0018,Hydro,Lake Jessicachester,2022-01-20,10237,11.0,481
P0018,Hydro,Lake Jessicachester,2022-01-21,6938,1.6,352
P0018,Hydro,Lake Jessicachester,2022-01-22,15675,0.8,433
P0018,Hydro,Lake Jessicachester,2022-01-23,12280,1.1,197
P0018,Hydro,Lake Jessicachester,2022-01-24,12379,4.8,289
P0018,Hydro,Lake Jessicachester,2022-01-25,12480,9.9,353
P0018,Hydro,Lake Jessicachester,2022-01-26,19906,3.9,665
P0018,Hydro,Lake Jessicachester,2022-01-27,19597,3.2,270
P0018,Hydro,Lake Jessicachester,2022-01-28,16971,12.4,337
P0018,Hydro,Lake Jessicachester,2022-01-29,5237,1.0,543
P0018,Hydro,Lake Jessicachester,2022-01-30,20542,4.7,523
P0018,Hydro,Lake Jessicachester,2022-01-31,8738,7.6,560
P0018,Hydro,Lake Jessicachester,2022-02-01,5057,1.6,343
P0018,Hydro,Lake Jessicachester,2022-02-02,21563,4.0,681
P0018,Hydro,Lake Jessicachester,2022-02-03,10414,13.6,357
P0018,Hydro,Lake Jessicachester,2022-02-04,12015,15.0,703
P0018,Hydro,Lake Jessicachester,2022-02-05,18291,8.1,213
P0018,Hydro,Lake Jessicachester,2022-02-06,22429,8.9,440
P0018,Hydro,Lake Jessicachester,2022-02-07,20755,3.5,455
P0018,Hydro,Lake Jessicachester,2022-02-08,15763,11.5,763
P0018,Hydro,Lake Jessicachester,2022-02-09,9876,12.4,610
P0018,Hydro,Lake Jessicachester,2022-02-10,11060,6.7,523
P0018,Hydro,Lake Jessicachester,2022-02-11,19121,1.3,192
P0018,Hydro,Lake Jessicachester,2022-02-12,9413,11.4,691
P0018,Hydro,Lake Jessicachester,2022-02-13,15255,6.2,472
P0018,Hydro,Lake Jessicachester,2022-02-14,11477,4.5,321
P0018,Hydro,Lake Jessicachester,2022-02-15,21233,9.8,643
P0018,Hydro,Lake Jessicachester,2022-02-16,18789,3.7,666
P0018,Hydro,Lake Jessicachester,2022-02-17,15078,6.8,107
P0018,Hydro,Lake Jessicachester,2022-02-18,8408,9.3,471
P0018,Hydro,Lake Jessicachester,2022-02-19,9609,7.6,362
P0018,Hydro,Lake Jessicachester,2022-02-20,11367,13.9,258
P0018,Hydro,Lake Jessicachester,2022-02-21,21421,7.6,118
P0018,Hydro,Lake Jessicachester,2022-02-22,11321,12.8,453
P0018,Hydro,Lake Jessicachester,2022-02-23,18392,4.2,733
P0018,Hydro,Lake Jessicachester,2022-02-24,6448,0.7,303
P0018,Hydro,Lake Jessicachester,2022-02-25,6753,14.1,236
P0018,Hydro,Lake Jessicachester,2022-02-26,11395,10.6,145
P0018,Hydro,Lake Jessicachester,2022-02-27,8779,1.7,418
P0018,Hydro,Lake Jessicachester,2022-02-28,16058,10.9,282
P0018,Hydro,Lake Jessicachester,2022-03-01,22842,9.6,344
P0018,Hydro,Lake Jessicachester,2022-03-02,16476,5.7,320
P0018,Hydro,Lake Jessicachester,2022-03-03,7354,1.3,505
P0018,Hydro,Lake Jessicachester,2022-03-04,5103,12.1,213
P0018,Hydro,Lake Jessicachester,2022-03-05,9438,6.7,744
P0018,Hydro,Lake Jessicachester,2022-03-06,7437,1.9,573
P0018,Hydro,Lake Jessicachester,2022-03-07,15505,9.5,600
P0018,Hydro,Lake Jessicachester,2022-03-08,13715,4.2,404
P0018,Hydro,Lake Jessicachester,2022-03-09,24175,9.5,331
P0018,Hydro,Lake Jessicachester,2022-03-10,14520,7.2,588
P0018,Hydro,Lake Jessicachester,2022-03-11,17915,14.7,538
P0018,Hydro,Lake Jessicachester,2022-03-12,11844,4.8,712
P0018,Hydro,Lake Jessicachester,2022-03-13,9970,14.3,749
P0018,Hydro,Lake Jessicachester,2022-03-14,21771,14.9,216
P0018,Hydro,Lake Jessicachester,2022-03-15,18540,9.0,118
P0018,Hydro,Lake Jessicachester,2022-03-16,6150,2.5,141
P0018,Hydro,Lake Jessicachester,2022-03-17,19407,13.8,611
P0018,Hydro,Lake Jessicachester,2022-03-18,20563,4.8,670
P0018,Hydro,Lake Jessicachester,2022-03-19,13520,7.4,183
P0018,Hydro,Lake Jessicachester,2022-03-20,16392,14.2,732
P0018,Hydro,Lake Jessicachester,2022-03-21,11314,4.8,797
P0018,Hydro,Lake Jessicachester,2022-03-22,13231,8.8,446
P0018,Hydro,Lake Jessicachester,2022-03-23,7688,2.2,166
P0018,Hydro,Lake Jessicachester,2022-03-24,15653,3.6,443
P0018,Hydro,Lake Jessicachester,2022-03-25,9474,0.5,733
P0018,Hydro,Lake Jessicachester,2022-03-26,13163,3.2,321
P0018,Hydro,Lake Jessicachester,2022-03-27,10387,14.2,162
P0018,Hydro,Lake Jessicachester,2022-03-28,14646,14.1,293
P0018,Hydro,Lake Jessicachester,2022-03-29,12532,13.9,675
P0018,Hydro,Lake Jessicachester,2022-03-30,14627,12.0,279
P0018,Hydro,Lake Jessicachester,2022-03-31,5894,8.0,156
P0018,Hydro,Lake Jessicachester,2022-04-01,5048,6.5,202
P0018,Hydro,Lake Jessicachester,2022-04-02,10937,3.5,167
P0018,Hydro,Lake Jessicachester,2022-04-03,5870,6.4,445
P0018,Hydro,Lake Jessicachester,2022-04-04,19495,8.5,639
P0018,Hydro,Lake Jessicachester,2022-04-05,6936,9.9,627
P0018,Hydro,Lake Jessicachester,2022-04-06,5119,2.8,437
P0018,Hydro,Lake Jessicachester,2022-04-07,13098,10.6,534
P0018,Hydro,Lake Jessicachester,2022-04-08,14339,7.8,623
P0018,Hydro,Lake Jessicachester,2022-04-09,14373,6.6,621
P0018,Hydro,Lake Jessicachester,2022-04-10,22047,5.5,230
P0018,Hydro,Lake Jessicachester,2022-04-11,18862,9.4,122
P0018,Hydro,Lake Jessicachester,2022-04-12,6675,7.6,696
P0018,Hydro,Lake Jessicachester,2022-04-13,9270,9.7,175
P0018,Hydro,Lake Jessicachester,2022-04-14,10800,1.4,686
P0018,Hydro,Lake Jessicachester,2022-04-15,6377,14.1,303
P0018,Hydro,Lake Jessicachester,2022-04-16,12204,12.6,181
P0018,Hydro,Lake Jessicachester,2022-04-17,9740,14.2,369
P0018,Hydro,Lake Jessicachester,2022-04-18,7632,11.6,138
P0018,Hydro,Lake Jessicachester,2022-04-19,13846,9.0,306
P0018,Hydro,Lake Jessicachester,2022-04-20,15797,3.8,461
P0018,Hydro,Lake Jessicachester,2022-04-21,12623,13.9,177
P0018,Hydro,Lake Jessicachester,2022-04-22,7551,13.6,392
P0018,Hydro,Lake Jessicachester,2022-04-23,14034,11.9,460
P0018,Hydro,Lake Jessicachester,2022-04-24,20017,10.8,142
P0018,Hydro,Lake Jessicachester,2022-04-25,7678,2.3,607
P0018,Hydro,Lake Jessicachester,2022-04-26,6429,4.2,147
P0018,Hydro,Lake Jessicachester,2022-04-27,9679,8.6,711
P0018,Hydro,Lake Jessicachester,2022-04-28,18270,11.7,766
P0018,Hydro,Lake Jessicachester,2022-04-29,13486,4.8,513
P0018,Hydro,Lake Jessicachester,2022-04-30,15773,1.1,477
P0018,Hydro,Lake Jessicachester,2022-05-01,24886,8.9,496
P0018,Hydro,Lake Jessicachester,2022-05-02,16958,3.5,760
P0018,Hydro,Lake Jessicachester,2022-05-03,21105,9.4,458
P0018,Hydro,Lake Jessicachester,2022-05-04,10629,10.1,343
P0018,Hydro,Lake Jessicachester,2022-05-05,24086,9.9,476
P0018,Hydro,Lake Jessicachester,2022-05-06,5218,7.2,331
P0018,Hydro,Lake Jessicachester,2022-05-07,10029,13.4,183
P0018,Hydro,Lake Jessicachester,2022-05-08,6137,13.4,284
P0018,Hydro,Lake Jessicachester,2022-05-09,15047,3.4,494
P0018,Hydro,Lake Jessicachester,2022-05-10,5368,12.1,570
P0018,Hydro,Lake Jessicachester,2022-05-11,18748,3.4,348
P0018,Hydro,Lake Jessicachester,2022-05-12,15195,6.2,391
P0018,Hydro,Lake Jessicachester,2022-05-13,8282,7.6,604
P0018,Hydro,Lake Jessicachester,2022-05-14,14935,13.2,304
P0018,Hydro,Lake Jessicachester,2022-05-15,6546,11.5,282
P0018,Hydro,Lake Jessicachester,2022-05-16,6405,2.8,414
P0018,Hydro,Lake Jessicachester,2022-05-17,22504,12.9,375
P0018,Hydro,Lake Jessicachester,2022-05-18,5784,2.6,435
P0018,Hydro,Lake Jessicachester,2022-05-19,21014,0.2,313
P0018,Hydro,Lake Jessicachester,2022-05-20,24782,13.1,395
P0018,Hydro,Lake Jessicachester,2022-05-21,14150,9.5,153
P0018,Hydro,Lake Jessicachester,2022-05-22,12859,2.4,132
P0018,Hydro,Lake Jessicachester,2022-05-23,14694,11.9,383
P0018,Hydro,Lake Jessicachester,2022-05-24,9471,4.2,782
P0018,Hydro,Lake Jessicachester,2022-05-25,18416,0.9,773
P0018,Hydro,Lake Jessicachester,2022-05-26,18112,5.2,338
P0018,Hydro,Lake Jessicachester,2022-05-27,12209,3.5,632
